,TCN_RMSE_UP,TCN_MAE_UP,TCN_RMSE_down,TCN_MAE_down
0,19.18070588510276,3.211140354736981,8.235381277540196,2.235452299362981
1,18.850418577512446,2.9633735154035983,9.650449996004431,2.5494067994113943
2,18.529539543970664,2.805314997649102,8.81479554596028,2.4046345172503405
3,18.8862463182133,2.8981686648473053,10.151354650145592,2.701522340527505
4,18.219268714714577,2.601435038758002,8.790905226227503,2.424926133170489
5,19.598897782632385,3.397388200089281,8.9896670212279,2.447077346652822
6,21.66489208964862,4.119917363233993,12.679197924456881,3.1274885950909628
7,18.10937912943644,2.5998958667251806,9.738923471579762,2.5838392637364747
8,19.524350258644542,3.357518904243011,10.566515022407946,2.90392326315808
9,18.656387587674416,2.8066836692679846,8.438046202821642,2.2637867887271317
10,19.092421382409796,3.016024039558509,10.72549916223211,2.76706844219534
11,18.90918738478457,2.9215609812912673,8.330387450778378,2.23114986662595
12,19.937865281245443,3.3842964179797566,11.515468759126247,2.9716595250962774
13,18.246619612347143,2.626492645382883,8.774220130527645,2.371720440855575
14,18.717124162749343,2.948881518112882,8.800479792563804,2.443962169393974
15,18.44255463921365,2.7464930534570793,8.724069487622861,2.33816197477792
16,18.818523468646394,2.9884173539232908,8.803052060309259,2.491007524291987
17,18.41890611044202,2.608492545861763,8.613604015574206,2.265015663242617
18,20.575347792605182,3.829733155039853,9.764130150589226,2.5000550836155657
19,18.711287929390387,2.8635737456727473,10.382567319452509,2.720664604676279
20,19.38322756442317,3.2967387110361055,9.431486007310848,2.642419943317978
21,18.705014818010905,2.8954885109267696,9.961453148916306,2.5396952580780137
22,18.262049498581703,2.6795072511727933,10.232798407408614,2.665999615993476
23,18.728315948891968,2.780282524825332,11.931438162114766,2.9919634311053405
24,18.580589859153477,2.7987292047799963,9.080830169360842,2.430069614264413
25,19.43665016978505,3.1314490045479926,12.302380377292264,3.1137832423379144
26,18.680272179164746,2.7984349050317228,7.893905375335856,2.186324640483387
27,18.247309237378538,2.6606454714198424,8.383233857272693,2.2801016220897186
28,18.869616861457477,3.0117774256414105,9.196043766311476,2.4613356449623165
